Churn,CellPlan,Sex,Age,Fee,PhoneBrand,default,student,balance,income,maritl,race,education,region,jobclass,health,health_ins,logwage,wage,grp1,state,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
0,3,male,39,31.275,S,No,No,237.045113977472,28251.6953449631,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.49415459401844,89.4924795180001,T,IN,89.93,109.55,101.67,127.14,109.55,102.85,89.1,98.27,116.25,81.17
0,3,female,14,7.8542,S,No,No,606.742343302464,44994.5558492173,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.90308998699194,134.705375118879,U,MN,98.11,103.13,104.57,111.16,114.92,90.88,95.6,94,100.73,94.43
1,2,female,55,16,S,No,No,1112.96840063305,23810.174050036,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.90308998699194,134.705375118879,S,IN,109.34,101.01,94.98,109.89,107.83,94.79,98.17,87.63,120.32,90.45
0,3,male,2,29.125,Q,No,No,286.232560139224,45042.4130358855,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.50514997831991,90.4819133566401,M,KY,103.44,107.48,102.27,89.74,105.32,93.87,114.38,89.72,120.79,122.64
0,3,female,31,18,S,No,No,0,50265.3123535985,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.41497334797082,82.6796372966372,M,UT,108.14,109.99,92.91,116.94,105.67,115.58,101.15,97.94,95.54,96.57
0,2,male,35,26,S,No,Yes,527.540184074571,17636.5396172936,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.36055176170483,212.842352315711,I,CO,109.15,92.67,103.53,99.56,101.57,92.71,97.77,84.67,106.37,113.8
1,2,male,34,13,S,No,No,485.936864171729,61566.106117801,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.86102634169657,129.156693004704,S,MA,98.28,104.81,90.53,104.09,95.97,84.96,91.47,106.23,100.57,101.02
1,3,female,15,8.0292,Q,No,No,1095.0727352874,26464.631389229,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.5910646070265,98.5993438603892,V,MA,75.98,90.11,97.68,101.15,100.75,94.33,110.93,115.37,104.51,99.83
1,1,male,28,35.5,S,No,No,228.952549642572,50500.1821977441,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.30102999566398,200.543262324662,L,MI,107.96,122.3,113.92,98.24,87.97,78.96,101.81,89.93,109.33,92.02
0,3,female,8,21.075,S,No,No,954.261792773545,32457.5090750754,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.92012332629072,50.406660861266,N,FL,121.69,104.57,96.56,120.82,96.28,105.31,93.52,107.11,87.81,92.86
1,3,female,38,31.3875,S,No,No,1055.95660472904,51317.8830823874,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.44715803134222,85.3839403789827,R,IN,100.58,99.64,93.03,120.49,106.52,116.18,103.03,106.88,108.91,100.37
0,1,male,19,263,S,No,No,641.984388848021,30466.1032574814,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.07918124604763,160.642475408263,D,NC,86.45,95.1,105.85,91.55,106.17,111.85,90.72,96.44,109.74,107.1
0,1,male,40,27.7208,C,No,No,773.211724534176,34353.3143050038,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.54406804435028,94.0727147457005,I,SD,96.32,97.79,70.05,95.77,95.53,118.76,95.59,102.66,97.09,91.2
0,2,male,66,10.5,S,No,No,855.008522525692,25211.3321614539,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62618633492728,277.601417511009,K,MI,90.65,88.99,101.02,100,101.58,95.44,96.28,108.64,114.13,93.91
0,1,male,28,82.1708,C,No,No,642.999738515429,41473.5118010187,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.43136376415899,84.0459576539924,C,FL,99.58,100.63,102.07,87.76,94.86,106.69,91.82,109.46,97.48,112.61
0,1,male,42,52,S,No,No,1454.86327248404,32189.0949523178,2. Married,4. Other,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.17609125905568,65.1108537153447,Y,IA,106.76,105.84,123.44,106.16,88.77,87.17,94.23,105.75,116.69,101.17
0,3,male,21,8.05,S,No,No,615.704276560405,39376.3946187014,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.75587485567249,116.265324062503,V,SD,108.66,94.87,94.39,105.93,95.53,96.03,110.14,109.3,103.07,105.49
0,3,female,18,18,S,No,Yes,1119.56935332865,16556.0702053511,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.25527250510331,70.4760196469445,W,FL,102.35,91.87,91.98,113.56,78.88,98.81,100.66,100.31,81.71,97.85
1,3,female,14,11.2417,C,No,No,494.816228807326,54384.7828361386,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.27646180417324,195.676307990453,Y,SC,90.66,83.71,122.85,91.62,92.72,90.43,80.7,96.18,111.25,87.73
0,3,female,40,9.475,S,No,Yes,448.880656256039,15799.4704097956,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.61909333062674,101.402052302992,B,NE,108.13,105.69,103.67,110.05,97.53,104.19,92.8,104.31,104.59,108.8
0,2,female,27,21,S,No,Yes,584.90489468245,22429.9350462168,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204,81.2832532842527,J,KY,113.48,103.34,99.94,109.17,93.86,98.93,103.5,107.67,91.66,94.76
1,2,female,3,41.5792,C,No,No,913.587172608928,46907.2254028623,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.7160033436348,111.720849360989,N,IN,122.52,97.89,105.12,98.53,101.04,97.01,104.4,101,104.21,88.82
1,3,female,19,7.8792,Q,No,Yes,1423.93891664088,22634.4880875812,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.49847596780109,89.8800467811106,C,SD,95.06,94.49,95.53,87.39,91.99,103.1,85.02,89.49,93.56,108.45
0,3,female,18,17.8,S,No,Yes,1499.72465655973,13190.6527164103,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.47712125471966,87.9810327856054,U,CO,104.74,102.58,87.89,97.46,113.24,102.55,100.46,96.26,99.99,77.37
0,3,male,7,39.6875,S,No,No,692.034167065432,47806.6117728963,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.47712125471966,87.9810327856054,T,TN,111.94,86.25,107.71,116.67,100.31,101.76,93.36,108.6,92.03,105.78
0,3,male,21,7.8,S,No,No,351.45347152301,35087.4886480858,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.64345267648619,103.90247060316,B,AR,98.84,85.27,100.89,107.22,91.76,89.25,96.48,110.71,105.1,99.21
1,1,female,49,76.7292,C,No,No,742.627620785597,37864.8239388952,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.66275783168157,105.927810775063,M,OK,105.25,85.55,99.01,105.94,91.33,101.04,91.39,84.62,98.53,105.81
1,2,female,29,26,S,No,No,653.118400123388,39489.5947028613,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.19312459835446,66.2294082943902,X,UT,102.14,96.39,86.84,71.15,87.47,87.88,106.48,95.28,99.65,103.65
0,1,male,65,61.9792,C,No,No,872.138679538477,41787.5672689012,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.54406804435028,34.6074177301288,B,WI,98.66,107.91,92.04,100.16,89.5,104.31,92.91,99.57,98.47,115.73
1,2,female,21,10.5,S,No,No,837.262622754171,51471.7720946377,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602,109.833985642199,H,IL,101.69,107.15,104.82,106.15,108.27,77.87,96,105.4,113.2,100.59
0,3,male,28.5,7.2292,C,No,No,1151.63056608265,42917.4695636282,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.81291335664286,45.282169994022,N,AK,109.65,94.35,90.48,88.65,91.56,127.37,101.47,88.37,100.09,101.03
1,2,female,5,27.75,S,No,Yes,220.55560838644,16872.9475557814,1. Never Married,4. Other,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.30102999566398,73.7757432746946,P,ID,104.09,114.18,105,95.24,78.33,102.65,121.3,120.17,102.74,93.9
0,3,male,11,46.9,S,No,Yes,1690.23441038701,19052.5722246955,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.39794000867204,81.2832532842527,G,CT,95.34,88.54,112.42,103.16,107.74,84.81,99.12,104.78,107.49,95.89
0,3,male,22,7.2292,C,No,No,408.772914305185,54206.9392120179,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.04139268515823,154.68529299563,L,MD,77.6,95.07,109.47,101.64,105.99,99.95,85.33,112.31,110.3,96.82
1,1,female,38,80,,No,No,1238.61032124112,50066.6805336538,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.59061783348625,267.901086855275,J,CA,92.05,92.67,86.71,109.58,111.97,75.59,106.52,96.51,95.16,108.6
0,1,male,45,83.475,S,No,No,1228.30835035336,37408.5038685076,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568,176.989650489877,Y,IA,99.8,101.59,101.27,98.69,96.32,102.99,108.8,96.77,92.59,109.61
0,3,male,4,27.9,S,No,No,820.919204146184,47746.5420731016,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.19312459835446,66.2294082943902,D,NH,74.86,82.49,100.1,99.53,107.02,77.35,109.59,105.62,110.2,112.14
1,2,female,29,10.5,S,No,No,857.4851177765,31688.3459738919,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.75587485567249,116.265324062503,B,KY,122.11,111.85,109.05,110.83,100.75,95.79,92.43,113.71,100.89,112.42
0,3,male,19,8.1583,S,No,No,563.618177182362,42641.253266646,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.30102999566398,200.543262324662,Z,WV,85.11,112.07,103.83,100.56,77.37,98.78,93.84,107.9,115.89,105.6
1,3,female,17,7.925,S,No,Yes,1282.97253359578,13120.6364696027,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6232492903979,101.82435207568,L,ME,88.39,109.78,86.92,87.18,110.55,96.21,91.71,95.19,92.96,104.38
0,3,male,26,8.6625,S,No,Yes,1505.78267482884,26557.1414458808,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.60688524128857,272.294783220064,J,WV,114.58,99.18,96.62,91.05,91.03,91.61,85.97,102.41,92.31,98.91
0,2,male,32,10.5,S,No,Yes,904.040259066813,16882.3006056535,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.55630250076729,35.0334213214995,E,IN,78.1,111.56,111.27,107.73,123.99,106.82,104.26,105.25,98.54,100.36
0,3,female,16,46.9,S,No,No,0,49956.580571906,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74036268949424,114.475713290347,B,OH,107.39,104.87,109.35,107.67,112.63,108.21,102.25,98.88,95.81,119.29
0,2,male,21,73.5,S,No,Yes,1294.4973466731,10464.3207319231,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.39794000867204,81.2832532842527,R,CT,96.56,109.59,118.31,107.01,112.91,83.8,93.25,111.35,115,112.15
0,3,male,26,14.4542,C,No,Yes,1275.55063272364,15887.4684867774,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.30102999566398,200.543262324662,P,SD,104.56,101.78,90.19,105.39,119.88,99.09,113.14,114.27,86.6,109.46
1,3,male,32,56.4958,S,No,No,1536.59460097252,48766.9074575615,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5,148.413159102577,Z,RI,108.78,102.92,93.29,111.31,102.09,88.46,96.71,97.86,88.59,102.1
0,3,male,25,7.65,S,No,No,1332.52264386695,39143.1370690178,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796,99.6894636984864,P,MN,90.42,78.87,96.26,95.62,95.55,92.67,90.06,113.59,102.95,114.16
1,2,male,0.83,29,S,No,No,492.079767815411,33379.0946028395,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7160033436348,111.720849360989,B,MN,92.94,94.62,109.95,114.02,83.42,108.66,87.29,90.48,106.28,106.1
1,3,female,30,12.475,S,No,No,766.234379303894,46478.2942569524,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.02938377768521,152.838800991182,E,OH,70.03,110.14,101.02,86.61,105.82,83.65,88.78,93.02,89.52,106.92
0,3,male,22,9,S,No,No,690.127246199993,63432.9842544674,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.76342799356294,117.146816914805,M,AR,90.39,101.01,114.83,107.64,92.89,106.28,103.09,116.94,101.3,85.45
1,3,male,29,9.5,S,No,No,0,32481.5400461151,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.3533390953113,77.7376033039781,A,NC,103.8,87.81,105.6,96.04,113.69,93.65,88.04,95.41,114.06,101.24
0,1,male,28,47.1,S,No,No,1480.65530926266,36866.1570686848,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.47712125471966,87.9810327856054,L,SC,105.05,90.42,101.42,107.07,100.61,100.82,114.51,94.29,107.92,83.84
1,2,female,17,10.5,S,No,No,989.055596975304,45344.2513202648,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.83250891270624,125.525498433836,G,ID,120.27,94.44,118.3,98.84,97.47,113.88,103.87,110.61,82.8,108.59
1,3,female,33,15.85,S,No,No,1302.34183516856,33695.4262332636,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.81491318127507,123.336103962059,Y,AZ,100.65,121.22,105.18,95.19,110.09,101.27,110.18,117.18,121.12,114.35
0,3,male,16,34.375,S,No,No,1044.55234328472,54696.7659816226,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.06445798922692,158.294621427791,S,MD,104.64,98.2,106.92,100.49,93.45,92.2,111.84,109.5,91.94,88.75
1,1,female,23,263,S,No,No,0,43658.2277239957,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.30102999566398,200.543262324662,E,LA,100.75,93.55,100.28,103.11,126.34,109.05,88.31,75.85,102.43,115.39
0,3,male,24,8.05,S,No,No,866.02843636799,38363.4216347118,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796,99.6894636984864,M,MN,95.13,79.07,98.35,99.96,96.95,93.5,95.02,109.62,105.27,103.75
0,3,male,29,8.05,S,No,No,690.800792354134,48140.471335995,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.25527250510331,70.4760196469445,R,MD,107.49,80.98,92.79,98.05,100.98,113.97,96.32,104.93,104.91,101.25
0,3,male,20,7.8542,S,No,No,597.757142017061,31577.6151255677,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.54406804435028,94.0727147457005,L,VA,104.64,112.22,87.18,91.1,93.11,111.63,97.51,105.21,103.09,90.16
0,1,male,46,61.175,S,No,No,429.485402306276,51311.218101023,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204,81.2832532842527,Y,FL,101.29,91.49,97.77,111.98,103.14,104.35,106.36,105.44,117.71,109.84
0,3,male,26,20.575,S,No,No,1398.15620148326,39644.9421931896,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.39794000867204,81.2832532842527,S,DE,91.85,116.21,100.27,100.47,109.2,102.91,109.97,84.14,92.12,87.13
0,3,male,59,7.25,S,No,Yes,1578.06409853994,19886.4939515168,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.61278385671974,100.764272842107,K,NM,99.6,96.71,118.28,102.62,84.88,97.23,105.56,99.66,108.89,105.51
0,1,male,71,34.6542,C,No,No,857.069053134242,26655.6889653755,1. Never Married,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.54406804435028,94.0727147457005,D,AL,107.81,76.74,111.78,113.4,99.85,81.89,101.28,108.95,108.67,84.14
1,1,male,23,63.3583,C,No,Yes,752.459945958806,16211.2757881826,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.60205999132796,99.6894636984864,G,AR,106.76,121.93,96.44,117.02,106.06,112.94,99.57,88.17,102.5,79.55
1,2,female,34,23,S,No,Yes,774.738426963927,15193.733135525,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.59198011410292,268.266292012557,W,RI,95.17,89.18,109.34,115.51,89.83,100.77,88.06,82.95,92.88,116.13
0,2,male,34,26,S,No,No,728.373251302587,45131.718264691,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.39794000867204,81.2832532842527,L,WA,93.31,94.94,89.15,96.78,111.16,92.29,99.02,97.55,105.85,98
0,3,female,28,7.8958,S,No,No,76.9912905299071,28392.0934122846,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.73239375982297,113.567089569751,M,HI,105.13,100.96,101.2,106.62,97.4,95.08,125.73,99.05,116.45,102.65
0,1,male,21,77.2875,S,No,No,196.456913136183,41346.78591324,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.47712125471966,87.9810327856054,R,NC,110.49,98.8,104.72,116.4,110.36,90.13,124.21,95.07,99.49,92.89
0,3,male,33,8.6542,S,No,Yes,948.747918388616,14297.6190485513,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.85733249643127,128.680488220624,T,KY,101.21,84.81,83.03,86.82,104.91,100.29,104.88,95.5,109.52,99.65
0,3,male,37,7.925,S,No,No,431.920885304176,39369.8815631008,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.67024585307412,106.723977625299,E,WV,96.87,84.89,111.93,86.35,86.74,91.96,118.11,97.69,111.44,91.57
0,3,male,28,7.8958,S,No,No,461.63818223378,46221.2114948234,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.19033169817029,66.0446942318056,W,SD,91.19,113.96,93.12,101.23,111.1,72.37,104.33,103.45,79.66,91.6
1,3,female,21,7.65,S,No,No,572.015760230599,33046.3129575033,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.94200805302231,51.521956314716,Y,PA,95.81,92.92,81.9,94.08,96.41,98.31,104.79,88.08,91.79,102.6
0,3,male,38,7.8958,S,No,No,335.568144733179,51258.4442299621,3. Widowed,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.44715803134222,85.3839403789827,P,ID,85.17,108.28,87.57,121.78,117.23,81.9,87.93,96.69,107.07,94.5
0,1,male,47,52,S,No,No,510.23759315638,60397.7186486948,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.34242268082221,76.8936025176112,N,AZ,93.03,117.08,80.29,112.53,91.96,97.74,105.24,105.01,96.01,87.58
0,3,female,14.5,14.4542,C,No,Yes,1005.16130555577,24038.6520433118,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.50514997831991,90.4819133566401,E,ME,111.35,92.21,95.88,73.23,114.27,90.98,103.73,98.27,83.02,113.04
0,3,male,22,8.05,S,No,Yes,162.454451086564,13241.7520600759,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.22063101944809,68.0764282889521,A,PA,111.12,92.93,108.26,83.34,89.13,106.1,102.36,102.57,107.4,98.62
0,3,female,20,9.825,S,No,No,932.533155682331,50537.4656484602,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8750612633917,130.982177377461,W,WA,91.29,80.07,94.38,108.42,105.72,100.06,85.02,93.81,92.16,111.33
0,3,female,17,14.4583,C,No,Yes,893.330467612275,11905.6817925484,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.85125834871908,127.901232979118,D,ND,102.11,119,87.73,103.86,114.25,114.27,103.43,88.91,111.5,110.54
0,3,male,21,7.925,S,No,No,1332.78256352571,44495.1627629054,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.87691031134463,131.224593755096,A,OK,100.69,92.44,96.66,121.38,95.94,98.84,88.7,78.3,91.93,105.92
0,3,male,70.5,7.75,Q,No,No,1404.38306945215,35043.1060286742,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796,99.6894636984864,Y,TX,83.37,96.22,100.06,102.13,100.49,82.43,94.72,99.69,97.15,95.48
0,2,male,29,21,S,No,Yes,1148.96513915926,16578.1921184729,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.34242268082221,76.8936025176112,H,OK,108.11,86.36,102.47,118.41,89.69,99.99,94.79,97.4,106.95,108.98
0,1,male,24,247.5208,C,No,No,368.223425720545,57596.8258431935,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.68124123737559,107.903923866876,E,TX,80.88,107.42,104.48,80.38,110.31,110.4,109.26,105.34,105.07,105.12
0,3,female,2,31.275,S,No,No,449.466628769273,45950.6667238686,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.39794000867204,81.2832532842527,K,MN,87.53,116.11,97.55,89.34,107.97,98.42,117.31,94.41,96.05,117.44
0,2,male,21,73.5,S,No,No,820.017112578423,51584.6573183834,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796,99.6894636984864,L,ND,109.98,102.27,99.24,101.66,93.33,105.38,107.48,116.08,106.13,114.21
